ASN,ASN_NAME,SOURCE,ASOF_DATE
131596,AS131596,PeeringDB,2024-05-23
211227,AS-JAVIH,PeeringDB,2024-05-23
211224,AS-JB3,PeeringDB,2024-05-23
62819,AS-TL-163,PeeringDB,2024-05-23
211550,AS-STEENTJESICT,PeeringDB,2024-05-23
211553,AS-211553-TRANSIT,PeeringDB,2024-05-23
2688,AS-ATT2688-REG,PeeringDB,2024-05-23
270288,AS270288,PeeringDB,2024-05-23
270285,AS-LX7,PeeringDB,2024-05-23
2685,AS-ATT2685-REG,PeeringDB,2024-05-23
2686,AS-IGNEMEA,PeeringDB,2024-05-23
2687,AS-ATTAP,PeeringDB,2024-05-23
270280,AS270280:AS-PRONTONET,PeeringDB,2024-05-23
199393,AS199393:AS-MAKEAPP,PeeringDB,2024-05-23
2683,AS-SINP-RM,PeeringDB,2024-05-23
202709,AS-NETOIP,PeeringDB,2024-05-23
147097,AS147097,PeeringDB,2024-05-23
265356,AS265356:AS-NETPLANETY,PeeringDB,2024-05-23
42031,AS-PLUSTELECOM,PeeringDB,2024-05-23
269819,AS269819:AS-AS269819,PeeringDB,2024-05-23
271080,AS-LEANDRO-ALL,PeeringDB,2024-05-23
269814,AS269814:AS-PROLUXCOMSER,PeeringDB,2024-05-23
198304,AS198304:AS-SET,PeeringDB,2024-05-23
14629,AS-14629-PFCS,PeeringDB,2024-05-23
202707,AS-OMNIDAT,PeeringDB,2024-05-23
38644,AS-KANDANET,PeeringDB,2024-05-23
62887,RADB::AS-WHITESKY,PeeringDB,2024-05-23
62886,AS62886:AS-OMNITEL,PeeringDB,2024-05-23
208434,AS-MJVT,PeeringDB,2024-05-23
212106,AS-DB,PeeringDB,2024-05-23
58212,RIPE::AS-PHPFRIENDS,PeeringDB,2024-05-23
400529,AS-INFRALY-LLC,PeeringDB,2024-05-23
268638,AS-268638,PeeringDB,2024-05-23
268635,AS-FIBERUP,PeeringDB,2024-05-23
268142,AS268142,PeeringDB,2024-05-23
264196,AS264196,PeeringDB,2024-05-23
400521,AS-400521-ALL,PeeringDB,2024-05-23
264191,AS-EAGNET,PeeringDB,2024-05-23
264192,TC::AS264192:AS-INTERLIGADO,PeeringDB,2024-05-23
264193,AS264193:AS-SET,PeeringDB,2024-05-23
13058,AS-FMT32,PeeringDB,2024-05-23
23777,AS23777:AS-VIPALETTE,PeeringDB,2024-05-23
13054,RIPE::AS-FREINET,PeeringDB,2024-05-23
33507,AS-33507,PeeringDB,2024-05-23
212109,AS-SQUIRREL,PeeringDB,2024-05-23
33854,AS-HOSTIT-NN,PeeringDB,2024-05-23
149754,AS-GLOBALCITRA,PeeringDB,2024-05-23
18705,AS-BLACKBERRY,PeeringDB,2024-05-23
50311,AS50311,PeeringDB,2024-05-23
398712,AS-ISPCON,PeeringDB,2024-05-23
41564,AS-PX9,PeeringDB,2024-05-23
264996,AS264996:AS-SERVLINK,PeeringDB,2024-05-23
264997,AS-264997,PeeringDB,2024-05-23
41560,AS-UT-SVR,PeeringDB,2024-05-23
264993,TC::AS264993:AS-ANNOUNCEMENTS,PeeringDB,2024-05-23
44141,AS-DEVCLIC,PeeringDB,2024-05-23
211869,AS-TRUEWINTER,PeeringDB,2024-05-23
264998,AS264998,PeeringDB,2024-05-23
62080,AS-AALMENAR,PeeringDB,2024-05-23
272753,AS272753:AS-FAST-FIBRA,PeeringDB,2024-05-23
20259,AS-SET-CVLD,PeeringDB,2024-05-23
20253,AS-20253,PeeringDB,2024-05-23
270935,AS270935:AS-STONY-NET,PeeringDB,2024-05-23
213201,RIPE::AS-MP,PeeringDB,2024-05-23
270932,AS270932:AS-GLOBAL,PeeringDB,2024-05-23
211715,AS-PARTLIX,PeeringDB,2024-05-23
137645,AS137645:AS-CUSTOMERS,PeeringDB,2024-05-23
29768,AS-ICUBEDEVCGY,PeeringDB,2024-05-23
44421,AS-EVE,PeeringDB,2024-05-23
19331,AS19331:AS-TWINLAKES,PeeringDB,2024-05-23
23059,AS-LLNW,PeeringDB,2024-05-23
263337,AS263337,PeeringDB,2024-05-23
136119,AS136119:AS-SET-BALIFIBER,PeeringDB,2024-05-23
47215,AS-FILOO,PeeringDB,2024-05-23
