ASN,ASN_NAME,SOURCE,ASOF_DATE
1820,WNET,ASRank,2024-05-24
31027,GlobalConnect-AS31027,ASRank,2024-05-24
8218,NEO-ASN,ASRank,2024-05-24
6327,SHAW,ASRank,2024-05-24
6774,ASN-BICS,ASRank,2024-05-24
3255,UARNET-AS,ASRank,2024-05-24
39392,SuperNetwork,ASRank,2024-05-24
8447,A1TELEKOM-AT,ASRank,2024-05-24
29535,MIX2_OpenPeering,ASRank,2024-05-24
24785,JOINTTRANSIT-AS,ASRank,2024-05-24
10796,TWC-10796-MIDWEST,ASRank,2024-05-24
43727,KVANT-TELECOM,ASRank,2024-05-24
17676,GIGAINFRA,ASRank,2024-05-24
5617,TPNET,ASRank,2024-05-24
396998,PATH-NETWORK,ASRank,2024-05-24
62081,EPIX-WAW-GlobalMix,ASRank,2024-05-24
702,UUNET,ASRank,2024-05-24
6730,SUNRISE,ASRank,2024-05-24
13237,LAMBDANET-AS,ASRank,2024-05-24
35280,F5,ASRank,2024-05-24
10099,UNICOM-Global,ASRank,2024-05-24
32098,TRANSTELCO-INC,ASRank,2024-05-24
4651,THAI-GATEWAY,ASRank,2024-05-24
29119,SERVIHOSTING-AS,ASRank,2024-05-24
55655,SIMS-AS-ID,ASRank,2024-05-24
4657,STARHUB-INTERNET,ASRank,2024-05-24
12302,Vodafone_Ro,ASRank,2024-05-24
29226,MASTERTEL-AS,ASRank,2024-05-24
5400,BT,ASRank,2024-05-24
17494,BTTB-AS-AP,ASRank,2024-05-24
4837,CHINA169-Backbone,ASRank,2024-05-24
12912,TMPL,ASRank,2024-05-24
18403,FPT-AS-AP,ASRank,2024-05-24
196844,PIONIER-AS-ams-ix,ASRank,2024-05-24
25478,IHOME-AS,ASRank,2024-05-24
8641,NAUKANET-AS,ASRank,2024-05-24
4800,LINTASARTA-AS-AP,ASRank,2024-05-24
45820,TTSL-MEISISP,ASRank,2024-05-24
11404,AS-WAVE-1,ASRank,2024-05-24
138840,HSP-NAP-AS-ID,ASRank,2024-05-24
1257,SWIPNET,ASRank,2024-05-24
38193,TWA-AS-AP,ASRank,2024-05-24
33491,COMCAST-33491,ASRank,2024-05-24
35168,TNS-Plus-Core,ASRank,2024-05-24
852,ASN852,ASRank,2024-05-24
132884,SUMMIT-BD,ASRank,2024-05-24
9050,RTD,ASRank,2024-05-24
24724,ATMAN-Foreign-AS,ASRank,2024-05-24
12874,FASTWEB,ASRank,2024-05-24
29838,AMC,ASRank,2024-05-24
13030,INIT7,ASRank,2024-05-24
13536,TVC-AS1,ASRank,2024-05-24
38082,IIT-TIG-AS-AP,ASRank,2024-05-24
2603,NORDUNET,ASRank,2024-05-24
8881,VERSATEL,ASRank,2024-05-24
17557,PKTELECOM-AS-PK,ASRank,2024-05-24
4761,INDOSAT-INP-AP,ASRank,2024-05-24
7552,VIETEL-AS-AP,ASRank,2024-05-24
8732,COMCOR-AS,ASRank,2024-05-24
15924,BORUSANTELEKOM-AS,ASRank,2024-05-24
139009,WSCL-AS-AP,ASRank,2024-05-24
37271,Workonline,ASRank,2024-05-24
5650,FRONTIER-FRTR,ASRank,2024-05-24
60299,MMTS-AS,ASRank,2024-05-24
9299,IPG-AS-AP,ASRank,2024-05-24
45430,SBN-AWN-IIG-AS-AP,ASRank,2024-05-24
8455,ATOM86-AS,ASRank,2024-05-24
30781,JAGUAR-AS,ASRank,2024-05-24
3215,AS3215,ASRank,2024-05-24
812,ROGERS-COMMUNICATIONS,ASRank,2024-05-24
3209,VODANET,ASRank,2024-05-24
50581,UTG,ASRank,2024-05-24
12880,DCI-AS,ASRank,2024-05-24
8529,OMANTEL-AS,ASRank,2024-05-24
3269,ASN-IBSNAZ,ASRank,2024-05-24
2828,XO-AS15,ASRank,2024-05-24
8717,A1BG,ASRank,2024-05-24
9730,BHARTITELESONIC-AS-IN-AP,ASRank,2024-05-24
44901,belcloud,ASRank,2024-05-24
199995,OT-AS,ASRank,2024-05-24
58552,MULTIDATA-ID-AP,ASRank,2024-05-24
7015,COMCAST-7015,ASRank,2024-05-24
58682,LEVEL3-BD,ASRank,2024-05-24
50673,Serverius-as,ASRank,2024-05-24
13649,ASN-FLEXENTIAL,ASRank,2024-05-24
5603,SIOL-NET,ASRank,2024-05-24
29075,IELO,ASRank,2024-05-24
39386,STC-IGW-AS,ASRank,2024-05-24
16637,MTNNS-AS,ASRank,2024-05-24
2119,TELENOR-NEXTEL,ASRank,2024-05-24
21859,ZEN-ECN,ASRank,2024-05-24
57344,TELEHOUSE-AS,ASRank,2024-05-24
4775,GLOBE-TELECOM-AS,ASRank,2024-05-24
45899,VNPT-AS-VN,ASRank,2024-05-24
2500,WIDE-BB,ASRank,2024-05-24
33651,CMCS,ASRank,2024-05-24
2856,BT-UK-AS,ASRank,2024-05-24
16019,VODAFONE-CZ-AS,ASRank,2024-05-24
9808,CHINAMOBILE-CN,ASRank,2024-05-24
41327,FIBERTELECOM-AS,ASRank,2024-05-24
12578,APOLLO-AS,ASRank,2024-05-24
55685,JLM-AS-ID,ASRank,2024-05-24
8400,TELEKOM-AS,ASRank,2024-05-24
141682,AIPL-AS-AP,ASRank,2024-05-24
36280,ISL-200-36280,ASRank,2024-05-24
35625,EURAFIBRE-AS,ASRank,2024-05-24
1680,NV-ASN,ASRank,2024-05-24
39533,asympto,ASRank,2024-05-24
48858,Milecom-as,ASRank,2024-05-24
8551,BEZEQ-INTERNATIONAL-AS,ASRank,2024-05-24
15694,ATMAN-ISP-AS,ASRank,2024-05-24
33667,CMCS,ASRank,2024-05-24
37282,MAINONE,ASRank,2024-05-24
8866,VIVACOM-AS,ASRank,2024-05-24
43531,IXREACH,ASRank,2024-05-24
58511,ANYCAST-GLOBAL-BACKBONE,ASRank,2024-05-24
4713,OCN,ASRank,2024-05-24
2152,CSUNET-NW,ASRank,2024-05-24
19551,INCAPSULA,ASRank,2024-05-24
33287,COMCAST-33287,ASRank,2024-05-24
15164,UPNLLC,ASRank,2024-05-24
3741,IS,ASRank,2024-05-24
