IP_ADDR,RDNS,ASN,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,SOURCE,ASOF_DATE
80.249.208.75,,13445,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.76,,12355,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.77,0.ae1.BR2.AMS3.ALTER.net.,702,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.79,amsix.globalswitch.netholding.nl.,24730,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.81,,40850,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.82,eth4-ixsp-mse1.router.nl.clara.net.,8426,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.83,,57976,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.84,ipv4.ams-ix.er01.fra1.de.servinga.com.,39378,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.86,,50923,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.87,,6774,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.88,peer1.rtr1.ams.opendns.com.,36692,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.90,ams-nik-pr001.nl.qinip.net.,8608,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.92,amsix.as47195.net.,47195,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.95,te1-3.cr01.nik.bb.gxn.net.,5413,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.96,ams-ix.gc-net.eu.,31027,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.97,,1547,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.99,ams-ix.bahnhof.net.,8473,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.100,i00ams-015.ip-plus.net.,3303,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.103,,38040,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.104,ae26-0.asd3nqp1.nl.ip.tdc.net.,3292,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.106,nl-ams04a-ri2-et-7-1-0-0.aorta.net.,6830,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.107,amsix-cr01nh.wd6.net.,20495,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
